Entity,Code,Year,Per_capita_domestic_aviation_CO2
Afghanistan,AFG,2018,1.488983189
Algeria,DZA,2018,4.426574933
Angola,AGO,2018,2.212520258
Argentina,ARG,2018,34.83374215
Australia,AUS,2018,267.1672425
Austria,AUT,2018,3.690322874
Azerbaijan,AZE,2018,0.275294385
Bahrain,BHR,2018,0
Bangladesh,BGD,2018,0.923364392
Belarus,BLR,2018,0
Belgium,BEL,2018,0
Bolivia,BOL,2018,27.09397052
Brazil,BRA,2018,42.85892023
Brunei,BRN,2018,0
Bulgaria,BGR,2018,2.657585302
Cambodia,KHM,2018,2.112523938
Canada,CAN,2018,168.2673801
Chile,CHL,2018,70.45835435
China,CHN,2018,45.20531062
Colombia,COL,2018,30.82432929
Costa_Rica,CRI,2018,1.36128395
Croatia,HRV,2018,8.119856779
Cuba,CUB,2018,3.641713759
Czechia,CZE,2018,0.232746735
Democratic_Republic_of_Congo,COD,2018,0.802299914
Denmark,DNK,2018,32.0081749
Ecuador,ECU,2018,12.56045893
Egypt,EGY,2018,1.584854252
El_Salvador,SLV,2018,0
Ethiopia,ETH,2018,1.111229317
Fiji,FJI,2018,52.36095239
Finland,FIN,2018,37.48191877
France,FRA,2018,69.66660845
Georgia,GEO,2018,0.131268383
Germany,DEU,2018,18.37714307
Greece,GRC,2018,38.81752516
Hungary,HUN,2018,0.019400154
Iceland,ISL,2018,71.32386138
India,IND,2018,7.972188592
Indonesia,IDN,2018,34.39137576
Iran,IRN,2018,21.38257419
Iraq,IRQ,2018,1.583803467
Ireland,IRL,2018,1.009062208
Israel,ISR,2018,6.816726727
Italy,ITA,2018,37.13227462
Japan,JPN,2018,73.95850162
Jordan,JOR,2018,0.520136585
Kazakhstan,KAZ,2018,34.50481884
Kenya,KEN,2018,7.099845415
Kuwait,KWT,2018,0
Kyrgyzstan,KGZ,2018,3.913479582
Latvia,LVA,2018,0.386861219
Lebanon,LBN,2018,0
Libya,LBY,2018,1.715671729
Luxembourg,LUX,2018,0
Madagascar,MDG,2018,1.043852944
Malaysia,MYS,2018,60.28701713
Malta,MLT,2018,0
Mauritius,MUS,2018,8.748151991
Mexico,MEX,2018,39.93093536
Moldova,MDA,2018,0
Mongolia,MNG,2018,4.016521945
Morocco,MAR,2018,1.850778384
Myanmar,MMR,2018,3.664663212
Namibia,NAM,2018,11.48518198
Nepal,NPL,2018,3.864737696
Netherlands,NLD,2018,27.69904683
New_Zealand,NZL,2018,174.188537
Nigeria,NGA,2018,1.982856384
Norway,NOR,2018,209.2301823
Oman,OMN,2018,19.10266048
Pakistan,PAK,2018,1.56342971
Panama,PAN,2018,7.71804312
Papua_New_Guinea,PNG,2018,20.12623642
Peru,PER,2018,29.4994312
Philippines,PHL,2018,16.18288272
Poland,POL,2018,2.802111031
Portugal,PRT,2018,42.95099481
Qatar,QAT,2018,0
Romania,ROU,2018,4.393187766
Russia,RUS,2018,63.3420279
Rwanda,RWA,2018,0.142887849
Saudi_Arabia,SAU,2018,65.24327005
Serbia,SRB,2018,0
Singapore,SGP,2018,0
South_Africa,ZAF,2018,25.08730086
South_Korea,KOR,2018,27.65079118
Spain,ESP,2018,61.58183006
Sri_Lanka,LKA,2018,0.452129225
Suriname,SUR,2018,0
Sweden,SWE,2018,54.77247984
Switzerland,CHE,2018,3.914776932
Tajikistan,TJK,2018,0.043238051
Thailand,THA,2018,37.25298288
Trinidad_and_Tobago,TTO,2018,16.56537099
Tunisia,TUN,2018,1.413515267
Turkey,TUR,2018,42.41700059
Turkmenistan,TKM,2018,12.91055063
Ukraine,UKR,2018,1.592154911
United_Arab_Emirates,ARE,2018,0.137823261
United_Kingdom,GBR,2018,22.48169707
United_States,USA,2018,385.5203968
Uzbekistan,UZB,2018,1.670978616
Venezuela,VEN,2018,4.189343719
Vietnam,VNM,2018,23.58988392
World,OWID_WRL,2018,39.72629622
